Serial Number:21059154 --

"Date Time, GMT -0700","Temp, (*F)","Button Down","Button Up","Host Connect","EOF"
2021-06-13 08:15:30,67.73, , , , 
2021-06-13 08:25:30,68.02, , , , 
2021-06-13 08:35:30,67.92, , , , 
2021-06-13 08:45:30,68.69, , , , 
2021-06-13 08:55:30,70.37, , , , 
2021-06-13 09:05:30,69.85, , , , 
2021-06-13 09:15:30,70.12, , , , 
2021-06-13 09:25:30,70.59, , , , 
2021-06-13 09:35:30,70.80, , , , 
2021-06-13 09:45:30,71.40, , , , 
2021-06-13 09:55:30,72.09, , , , 
2021-06-13 10:05:30,72.57, , , , 
2021-06-13 10:15:30,73.29, , , , 
2021-06-13 10:25:30,74.14, , , , 
2021-06-13 10:35:30,75.57, , , , 
2021-06-13 10:45:30,78.21, , , , 
2021-06-13 10:55:30,79.08, , , , 
2021-06-13 11:05:30,80.05, , , , 
2021-06-13 11:15:30,79.89, , , , 
2021-06-13 11:25:30,80.22, , , , 
2021-06-13 11:35:30,80.86, , , , 
2021-06-13 11:45:30,80.14, , , , 
2021-06-13 11:55:30,80.93, , , , 
2021-06-13 12:05:30,80.82, , , , 
2021-06-13 12:15:30,81.42, , , , 
2021-06-13 12:25:30,82.17, , , , 
2021-06-13 12:35:30,83.00, , , , 
2021-06-13 12:45:30,83.42, , , , 
2021-06-13 12:55:30,84.33, , , , 
2021-06-13 13:05:30,85.12, , , , 
2021-06-13 13:15:30,85.35, , , , 
2021-06-13 13:25:30,85.14, , , , 
2021-06-13 13:35:30,85.99, , , , 
2021-06-13 13:45:30,86.17, , , , 
2021-06-13 13:55:30,86.53, , , , 
2021-06-13 14:05:30,85.62, , , , 
2021-06-13 14:15:30,84.79, , , , 
2021-06-13 14:25:30,84.23, , , , 
2021-06-13 14:35:30,83.42, , , , 
2021-06-13 14:45:30,83.44, , , , 
2021-06-13 14:55:30,84.62, , , , 
2021-06-13 15:05:30,84.93, , , , 
2021-06-13 15:15:30,84.66, , , , 
2021-06-13 15:25:30,82.83, , , , 
2021-06-13 15:35:30,79.85, , , , 
2021-06-13 15:45:30,77.32, , , , 
2021-06-13 15:55:30,75.34, , , , 
2021-06-13 16:05:30,73.73, , , , 
2021-06-13 16:15:30,72.67, , , , 
2021-06-13 16:25:30,71.67, , , , 
2021-06-13 16:35:30,70.91, , , , 
2021-06-13 16:45:30,70.39, , , , 
2021-06-13 16:55:30,69.89, , , , 
2021-06-13 17:05:30,69.33, , , , 
2021-06-13 17:15:30,68.85, , , , 
2021-06-13 17:25:30,68.56, , , , 
2021-06-13 17:35:30,68.08, , , , 
2021-06-13 17:45:30,67.79, , , , 
2021-06-13 17:55:30,67.46, , , , 
2021-06-13 18:05:30,67.25, , , , 
2021-06-13 18:15:30,67.07, , , , 
2021-06-13 18:25:30,66.90, , , , 
2021-06-13 18:35:30,66.69, , , , 
2021-06-13 18:45:30,66.47, , , , 
2021-06-13 18:55:30,66.28, , , , 
2021-06-13 19:05:30,66.11, , , , 
2021-06-13 19:15:30,65.99, , , , 
2021-06-13 19:25:30,65.89, , , , 
2021-06-13 19:35:30,65.78, , , , 
2021-06-13 19:45:30,65.66, , , , 
2021-06-13 19:55:30,65.43, , , , 
2021-06-13 20:05:30,65.18, , , , 
2021-06-13 20:15:30,64.93, , , , 
2021-06-13 20:25:30,64.72, , , , 
2021-06-13 20:35:30,64.52, , , , 
2021-06-13 20:45:30,64.33, , , , 
2021-06-13 20:55:30,64.20, , , , 
2021-06-13 21:05:30,64.04, , , , 
2021-06-13 21:15:30,63.95, , , , 
2021-06-13 21:25:30,63.95, , , , 
