Serial Number:20800155 --

"Date Time, GMT -0700","Temp, (*F)","Button Down","Button Up","Host Connect","EOF"
2021-06-13 07:33:12,63.73, , , , 
2021-06-13 07:43:12,63.95, , , , 
2021-06-13 07:53:12,64.08, , , , 
2021-06-13 08:03:12,64.37, , , , 
2021-06-13 08:13:12,65.01, , , , 
2021-06-13 08:23:12,65.55, , , , 
2021-06-13 08:33:12,66.18, , , , 
2021-06-13 08:43:12,66.92, , , , 
2021-06-13 08:53:12,67.77, , , , 
2021-06-13 09:03:12,68.33, , , , 
2021-06-13 09:13:12,68.73, , , , 
2021-06-13 09:23:12,69.16, , , , 
2021-06-13 09:33:12,69.60, , , , 
2021-06-13 09:43:12,69.97, , , , 
2021-06-13 09:53:12,70.49, , , , 
2021-06-13 10:03:12,71.17, , , , 
2021-06-13 10:13:12,71.73, , , , 
2021-06-13 10:23:12,72.19, , , , 
2021-06-13 10:33:12,73.58, , , , 
2021-06-13 10:43:12,75.08, , , , 
2021-06-13 10:53:12,76.44, , , , 
2021-06-13 11:03:12,77.28, , , , 
2021-06-13 11:13:12,77.57, , , , 
2021-06-13 11:23:12,77.88, , , , 
2021-06-13 11:33:12,78.62, , , , 
2021-06-13 11:43:12,78.56, , , , 
2021-06-13 11:53:12,78.81, , , , 
2021-06-13 12:03:12,78.66, , , , 
2021-06-13 12:13:12,79.52, , , , 
2021-06-13 12:23:12,80.39, , , , 
2021-06-13 12:33:12,81.20, , , , 
2021-06-13 12:43:12,82.19, , , , 
2021-06-13 12:53:12,82.75, , , , 
2021-06-13 13:03:12,83.58, , , , 
2021-06-13 13:13:12,84.37, , , , 
2021-06-13 13:23:12,84.47, , , , 
2021-06-13 13:33:12,84.70, , , , 
2021-06-13 13:43:12,85.18, , , , 
2021-06-13 13:53:12,86.15, , , , 
2021-06-13 14:03:12,85.37, , , , 
2021-06-13 14:13:12,84.41, , , , 
2021-06-13 14:23:12,84.02, , , , 
2021-06-13 14:33:12,83.19, , , , 
2021-06-13 14:43:12,83.13, , , , 
2021-06-13 14:53:12,83.77, , , , 
2021-06-13 15:03:12,83.83, , , , 
2021-06-13 15:13:12,81.34, , , , 
2021-06-13 15:23:12,79.00, , , , 
2021-06-13 15:33:12,77.09, , , , 
2021-06-13 15:43:12,75.59, , , , 
2021-06-13 15:53:12,74.51, , , , 
2021-06-13 16:03:12,73.66, , , , 
2021-06-13 16:13:12,72.75, , , , 
2021-06-13 16:23:12,72.09, , , , 
2021-06-13 16:33:12,71.42, , , , 
2021-06-13 16:43:12,70.99, , , , 
2021-06-13 16:53:12,70.61, , , , 
2021-06-13 17:03:12,70.06, , , , 
2021-06-13 17:13:12,69.74, , , , 
2021-06-13 17:23:12,69.41, , , , 
2021-06-13 17:33:12,69.12, , , , 
2021-06-13 17:43:12,68.89, , , , 
2021-06-13 17:53:12,68.52, , , , 
2021-06-13 18:03:12,68.27, , , , 
2021-06-13 18:13:12,68.15, , , , 
2021-06-13 18:23:12,67.94, , , , 
2021-06-13 18:33:12,67.77, , , , 
2021-06-13 18:43:12,67.54, , , , 
2021-06-13 18:53:12,67.38, , , , 
2021-06-13 19:03:12,67.21, , , , 
2021-06-13 19:13:12,67.03, , , , 
2021-06-13 19:23:12,66.94, , , , 
2021-06-13 19:33:12,66.82, , , , 
2021-06-13 19:43:12,66.74, , , , 
2021-06-13 19:53:12,66.57, , , , 
2021-06-13 20:03:12,66.40, , , , 
2021-06-13 20:13:12,66.20, , , , 
2021-06-13 20:23:12,65.86, , , , 
2021-06-13 20:33:12,65.74, , , , 
2021-06-13 20:43:12,65.47, , , , 
2021-06-13 20:53:12,65.30, , , , 
2021-06-13 21:03:12,65.28, , , , 
2021-06-13 21:13:12,65.01, , , , 
2021-06-13 21:23:12,65.01, , , , 
2021-06-13 21:33:12,64.93, , , , 
2021-06-13 21:43:12,64.93, , , , 
2021-06-13 21:53:12,64.85, , , , 
2021-06-13 22:03:12,64.72, , , , 
2021-06-13 22:13:12,64.56, , , , 
2021-06-13 22:23:12,64.39, , , , 
2021-06-13 22:33:12,64.29, , , , 
2021-06-13 22:43:12,64.23, , , , 
2021-06-13 22:53:12,64.20, , , , 
2021-06-13 23:03:12,64.23, , , , 
2021-06-13 23:13:12,64.22, , , , 
2021-06-13 23:23:12,64.33, , , , 
2021-06-13 23:33:12,64.50, , , , 
2021-06-13 23:43:12,64.50, , , , 
2021-06-13 23:53:12,63.60, , , , 
2021-06-14 00:03:12,64.04, , , , 
2021-06-14 00:13:12,64.49, , , , 
2021-06-14 00:23:12,64.66, , , , 
2021-06-14 00:33:12,64.76, , , , 
2021-06-14 00:43:12,64.85, , , , 
2021-06-14 00:53:12,64.91, , , , 
2021-06-14 01:03:12,64.91, , , , 
2021-06-14 01:13:12,64.89, , , , 
2021-06-14 01:23:12,64.87, , , , 
2021-06-14 01:33:12,64.83, , , , 
2021-06-14 01:43:12,64.76, , , , 
2021-06-14 01:53:12,64.74, , , , 
2021-06-14 02:03:12,64.64, , , , 
2021-06-14 02:13:12,64.56, , , , 
2021-06-14 02:23:12,64.50, , , , 
2021-06-14 02:33:12,64.43, , , , 
2021-06-14 02:43:12,64.33, , , , 
2021-06-14 02:53:12,64.08, , , , 
2021-06-14 03:03:12,63.96, , , , 
2021-06-14 03:13:12,63.87, , , , 
2021-06-14 03:23:12,63.91, , , , 
2021-06-14 03:33:12,63.83, , , , 
2021-06-14 03:43:12,63.81, , , , 
2021-06-14 03:53:12,63.83, , , , 
2021-06-14 04:03:12,63.83, , , , 
2021-06-14 04:13:12,63.79, , , , 
2021-06-14 04:23:12,63.79, , , , 
2021-06-14 04:33:12,63.77, , , , 
2021-06-14 04:43:12,63.79, , , , 
2021-06-14 04:53:12,63.75, , , , 
2021-06-14 05:03:12,63.71, , , , 
2021-06-14 05:13:12,63.71, , , , 
2021-06-14 05:23:12,63.64, , , , 
2021-06-14 05:33:12,63.58, , , , 
2021-06-14 05:43:12,63.54, , , , 
2021-06-14 05:53:12,63.50, , , , 
2021-06-14 06:03:12,63.46, , , , 
2021-06-14 06:13:12,63.37, , , , 
2021-06-14 06:23:12,63.42, , , , 
2021-06-14 06:33:12,63.40, , , , 
2021-06-14 06:43:12,63.39, , , , 
2021-06-14 06:53:12,63.39, , , , 
2021-06-14 07:03:12,63.37, , , , 
2021-06-14 07:13:12,63.35, , , , 
2021-06-14 07:23:12,63.46, , , , 
2021-06-14 07:33:12,63.50, , , , 
2021-06-14 07:43:12,63.69, , , , 
2021-06-14 07:53:12,63.95, , , , 
2021-06-14 08:03:12,64.33, , , , 
2021-06-14 08:13:12,64.89, , , , 
2021-06-14 08:23:12,65.82, , , , 
2021-06-14 08:33:12,66.74, , , , 
2021-06-14 08:43:12,67.77, , , , 
2021-06-14 08:53:12,68.85, , , , 
2021-06-14 09:03:12,69.87, , , , 
2021-06-14 09:13:12,70.95, , , , 
2021-06-14 09:23:12,72.09, , , , 
2021-06-14 09:33:12,73.46, , , , 
2021-06-14 09:43:12,74.66, , , , 
2021-06-14 09:53:12,75.72, , , , 
2021-06-14 10:03:12,76.96, , , , 
2021-06-14 10:13:12,78.10, , , , 
2021-06-14 10:23:12,79.06, , , , 
2021-06-14 10:33:12,80.05, , , , 
2021-06-14 10:43:12,80.99, , , , 
2021-06-14 10:53:12,81.86, , , , 
2021-06-14 11:03:12,82.81, , , , 
2021-06-14 11:13:12,83.35, , , , 
2021-06-14 11:23:12,84.08, , , , 
2021-06-14 11:33:12,84.49, , , , 
2021-06-14 11:43:12,84.91, , , , 
2021-06-14 11:53:12,85.51, , , , 
2021-06-14 12:03:12,86.13, , , , 
2021-06-14 12:13:12,86.76, , , , 
2021-06-14 12:23:12,87.36, , , , 
2021-06-14 12:33:12,87.67, , , , 
2021-06-14 12:43:12,88.00, , , , 
2021-06-14 12:53:12,88.44, , , , 
2021-06-14 13:03:12,88.91, , , , 
2021-06-14 13:13:12,89.02, , , , 
2021-06-14 13:23:12,89.45, , , , 
2021-06-14 13:33:12,89.54, , , , 
2021-06-14 13:43:12,89.81, , , , 
2021-06-14 13:53:12,89.68, , , , 
2021-06-14 14:03:12,89.64, , , , 
2021-06-14 14:13:12,89.78, , , , 
2021-06-14 14:23:12,89.62, , , , 
2021-06-14 14:33:12,89.25, , , , 
2021-06-14 14:43:12,88.75, , , , 
2021-06-14 14:53:12,88.35, , , , 
2021-06-14 15:03:12,87.90, , , , 
2021-06-14 15:13:12,85.03, , , , 
2021-06-14 15:23:12,82.54, , , , 
2021-06-14 15:33:12,80.49, , , , 
2021-06-14 15:43:12,78.79, , , , 
2021-06-14 15:53:12,77.48, , , , 
2021-06-14 16:03:12,76.30, , , , 
2021-06-14 16:13:12,75.43, , , , 
2021-06-14 16:23:12,74.76, , , , 
2021-06-14 16:33:12,73.98, , , , 
2021-06-14 16:43:12,73.40, , , , 
2021-06-14 16:53:12,72.86, , , , 
2021-06-14 17:03:12,72.32, , , , 
2021-06-14 17:13:12,71.88, , , , 
2021-06-14 17:23:12,71.49, , , , 
2021-06-14 17:33:12,71.15, , , , 
2021-06-14 17:43:12,70.80, , , , 
2021-06-14 17:53:12,70.39, , , , 
2021-06-14 18:03:12,70.10, , , , 
2021-06-14 18:13:12,69.83, , , , 
2021-06-14 18:23:12,69.62, , , , 
2021-06-14 18:33:12,69.47, , , , 
2021-06-14 18:43:12,69.10, , , , 
2021-06-14 18:53:12,68.73, , , , 
2021-06-14 19:03:12,68.40, , , , 
2021-06-14 19:13:12,68.19, , , , 
2021-06-14 19:23:12,68.00, , , , 
2021-06-14 19:33:12,67.92, , , , 
2021-06-14 19:43:12,67.73, , , , 
2021-06-14 19:53:12,67.59, , , , 
2021-06-14 20:03:12,67.44, , , , 
2021-06-14 20:13:12,67.23, , , , 
2021-06-14 20:23:12,67.11, , , , 
2021-06-14 20:33:12,67.15, , , , 
2021-06-14 20:43:12,67.01, , , , 
2021-06-14 20:53:12,66.90, , , , 
2021-06-14 21:03:12,66.86, , , , 
2021-06-14 21:13:12,66.94, , , , 
2021-06-14 21:23:12,66.84, , , , 
2021-06-14 21:33:12,66.92, , , , 
2021-06-14 21:43:12,66.90, , , , 
2021-06-14 21:53:12,66.86, , , , 
2021-06-14 22:03:12,66.90, , , , 
2021-06-14 22:13:12,66.96, , , , 
2021-06-14 22:23:12,66.71, , , , 
2021-06-14 22:33:12,66.59, , , , 
2021-06-14 22:43:12,66.98, , , , 
2021-06-14 22:53:12,67.13, , , , 
2021-06-14 23:03:12,67.07, , , , 
2021-06-14 23:13:12,66.92, , , , 
2021-06-14 23:23:12,66.80, , , , 
2021-06-14 23:33:12,66.78, , , , 
2021-06-14 23:43:12,64.85, , , , 
2021-06-14 23:53:12,63.83, , , , 
2021-06-15 00:03:12,63.50, , , , 
2021-06-15 00:13:12,64.35, , , , 
2021-06-15 00:23:12,64.89, , , , 
2021-06-15 00:33:12,65.22, , , , 
2021-06-15 00:43:12,65.41, , , , 
2021-06-15 00:53:12,65.45, , , , 
2021-06-15 01:03:12,65.32, , , , 
2021-06-15 01:13:12,65.43, , , , 
2021-06-15 01:23:12,65.57, , , , 
2021-06-15 01:33:12,65.66, , , , 
2021-06-15 01:43:12,65.72, , , , 
2021-06-15 01:53:12,65.74, , , , 
2021-06-15 02:03:12,65.74, , , , 
2021-06-15 02:13:12,65.76, , , , 
2021-06-15 02:23:12,65.72, , , , 
2021-06-15 02:33:12,65.57, , , , 
2021-06-15 02:43:12,65.49, , , , 
2021-06-15 02:53:12,65.34, , , , 
2021-06-15 03:03:12,65.24, , , , 
2021-06-15 03:13:12,65.22, , , , 
2021-06-15 03:23:12,65.20, , , , 
2021-06-15 03:33:12,65.14, , , , 
2021-06-15 03:43:12,64.99, , , , 
2021-06-15 03:53:12,64.79, , , , 
2021-06-15 04:03:12,64.70, , , , 
2021-06-15 04:13:12,64.66, , , , 
2021-06-15 04:23:12,64.60, , , , 
2021-06-15 04:33:12,64.56, , , , 
2021-06-15 04:43:12,64.35, , , , 
2021-06-15 04:53:12,64.16, , , , 
2021-06-15 05:03:12,64.18, , , , 
2021-06-15 05:13:12,64.16, , , , 
2021-06-15 05:23:12,64.04, , , , 
2021-06-15 05:33:12,63.95, , , , 
2021-06-15 05:43:12,63.81, , , , 
2021-06-15 05:53:12,63.77, , , , 
2021-06-15 06:03:12,63.71, , , , 
2021-06-15 06:13:12,63.66, , , , 
2021-06-15 06:23:12,63.67, , , , 
2021-06-15 06:33:12,63.64, , , , 
2021-06-15 06:43:12,63.71, , , , 
2021-06-15 06:53:12,63.77, , , , 
2021-06-15 07:03:12,63.87, , , , 
2021-06-15 07:13:12,63.95, , , , 
2021-06-15 07:23:12,64.10, , , , 
2021-06-15 07:33:12,64.25, , , , 
2021-06-15 07:43:12,64.49, , , , 
2021-06-15 07:53:12,64.83, , , , 
2021-06-15 08:03:12,65.32, , , , 
2021-06-15 08:13:12,65.88, , , , 
2021-06-15 08:23:12,66.65, , , , 
2021-06-15 08:33:12,67.67, , , , 
2021-06-15 08:43:12,68.69, , , , 
2021-06-15 08:53:12,69.89, , , , 
2021-06-15 09:03:12,70.72, , , , 
2021-06-15 09:13:12,71.73, , , , 
2021-06-15 09:23:12,73.06, , , , 
2021-06-15 09:33:12,74.18, , , , 
2021-06-15 09:43:12,75.43, , , , 
2021-06-15 09:53:12,76.67, , , , 
2021-06-15 10:03:12,77.61, , , , 
2021-06-15 10:13:12,78.50, , , , 
2021-06-15 10:23:12,79.22, , , , 
2021-06-15 10:33:12,80.12, , , , 
2021-06-15 10:43:12,80.55, , , , 
2021-06-15 10:53:12,81.01, , , , 
2021-06-15 11:03:12,81.42, , , , 
2021-06-15 11:13:12,81.74, , , , 
2021-06-15 11:23:12,82.05, , , , 
2021-06-15 11:33:12,82.69, , , , 
2021-06-15 11:43:12,83.60, , , , 
2021-06-15 11:53:12,84.29, , , , 
2021-06-15 12:03:12,85.10, , , , 
2021-06-15 12:13:12,85.59, , , , 
2021-06-15 12:23:12,86.01, , , , 
2021-06-15 12:33:12,86.45, , , , 
2021-06-15 12:43:12,87.23, , , , 
2021-06-15 12:53:12,87.61, , , , 
2021-06-15 13:03:12,87.21, , , , 
2021-06-15 13:13:12,87.59, , , , 
2021-06-15 13:23:12,87.84, , , , 
2021-06-15 13:33:12,87.46, , , , 
2021-06-15 13:43:12,88.44, , , , 
2021-06-15 13:53:12,88.89, , , , 
2021-06-15 14:03:12,89.02, , , , 
2021-06-15 14:13:12,88.95, , , , 
2021-06-15 14:23:12,88.50, , , , 
2021-06-15 14:33:12,87.71, , , , 
2021-06-15 14:43:12,86.82, , , , 
2021-06-15 14:53:12,85.43, , , , 
2021-06-15 15:03:12,84.23, , , , 
2021-06-15 15:13:12,82.67, , , , 
2021-06-15 15:23:12,81.69, , , , 
2021-06-15 15:33:12,80.76, , , , 
2021-06-15 15:43:12,80.28, , , , 
2021-06-15 15:53:12,79.81, , , , 
2021-06-15 16:03:12,79.51, , , , 
2021-06-15 16:13:12,79.27, , , , 
2021-06-15 16:23:12,79.00, , , , 
2021-06-15 16:33:12,78.71, , , , 
2021-06-15 16:43:12,78.12, , , , 
2021-06-15 16:53:12,77.75, , , , 
2021-06-15 17:03:12,77.36, , , , 
2021-06-15 17:13:12,76.94, , , , 
2021-06-15 17:23:12,76.38, , , , 
2021-06-15 17:33:12,76.01, , , , 
2021-06-15 17:43:12,75.68, , , , 
2021-06-15 17:53:12,75.43, , , , 
2021-06-15 18:03:12,75.26, , , , 
2021-06-15 18:13:12,75.12, , , , 
2021-06-15 18:23:12,74.89, , , , 
2021-06-15 18:33:12,74.39, , , , 
2021-06-15 18:43:12,74.12, , , , 
2021-06-15 18:53:12,74.00, , , , 
2021-06-15 19:03:12,73.83, , , , 
2021-06-15 19:13:12,73.62, , , , 
2021-06-15 19:23:12,73.40, , , , 
2021-06-15 19:33:12,73.19, , , , 
2021-06-15 19:43:12,73.06, , , , 
2021-06-15 19:53:12,72.88, , , , 
2021-06-15 20:03:12,72.57, , , , 
2021-06-15 20:13:12,72.30, , , , 
2021-06-15 20:23:12,72.11, , , , 
2021-06-15 20:33:12,71.84, , , , 
2021-06-15 20:43:12,71.51, , , , 
2021-06-15 20:53:12,71.34, , , , 
2021-06-15 21:03:12,71.11, , , , 
2021-06-15 21:13:12,70.84, , , , 
2021-06-15 21:23:12,70.57, , , , 
2021-06-15 21:33:12,70.43, , , , 
2021-06-15 21:43:12,70.41, , , , 
2021-06-15 21:53:12,70.22, , , , 
2021-06-15 22:03:12,70.05, , , , 
2021-06-15 22:13:12,69.91, , , , 
2021-06-15 22:23:12,70.16, , , , 
2021-06-15 22:33:12,70.22, , , , 
2021-06-15 22:43:12,70.24, , , , 
2021-06-15 22:53:12,70.26, , , , 
2021-06-15 23:03:12,70.01, , , , 
2021-06-15 23:13:12,69.93, , , , 
2021-06-15 23:23:12,69.89, , , , 
2021-06-15 23:33:12,69.76, , , , 
2021-06-15 23:43:12,69.85, , , , 
2021-06-15 23:53:12,69.64, , , , 
2021-06-16 00:03:12,69.29, , , , 
2021-06-16 00:13:12,67.52, , , , 
2021-06-16 00:23:12,67.98, , , , 
2021-06-16 00:33:12,68.19, , , , 
2021-06-16 00:43:12,67.48, , , , 
2021-06-16 00:53:12,67.15, , , , 
2021-06-16 01:03:12,66.34, , , , 
2021-06-16 01:13:12,66.44, , , , 
2021-06-16 01:23:12,65.95, , , , 
2021-06-16 01:33:12,66.15, , , , 
2021-06-16 01:43:12,66.20, , , , 
2021-06-16 01:53:12,65.57, , , , 
2021-06-16 02:03:12,65.59, , , , 
2021-06-16 02:13:12,65.84, , , , 
2021-06-16 02:23:12,65.35, , , , 
2021-06-16 02:33:12,65.32, , , , 
2021-06-16 02:43:12,65.32, , , , 
2021-06-16 02:53:12,65.70, , , , 
2021-06-16 03:03:12,66.03, , , , 
2021-06-16 03:13:12,66.20, , , , 
2021-06-16 03:23:12,66.26, , , , 
2021-06-16 03:33:12,66.26, , , , 
2021-06-16 03:43:12,66.34, , , , 
2021-06-16 03:53:12,66.28, , , , 
2021-06-16 04:03:12,66.24, , , , 
2021-06-16 04:13:12,66.24, , , , 
2021-06-16 04:23:12,66.26, , , , 
2021-06-16 04:33:12,66.28, , , , 
2021-06-16 04:43:12,66.13, , , , 
2021-06-16 04:53:12,66.13, , , , 
2021-06-16 05:03:12,66.11, , , , 
2021-06-16 05:13:12,66.15, , , , 
2021-06-16 05:23:12,66.03, , , , 
2021-06-16 05:33:12,66.03, , , , 
