Serial Number:20693580 --

"Date Time, GMT -0700","Temp, (*F)","Button Down","Button Up","Host Connect","EOF"
2021-06-14 08:57:47,65.32, , , , 
2021-06-14 09:07:47,65.49, , , , 
2021-06-14 09:17:47,65.95, , , , 
2021-06-14 09:27:47,66.30, , , , 
2021-06-14 09:37:47,66.88, , , , 
2021-06-14 09:47:47,67.65, , , , 
2021-06-14 09:57:47,68.29, , , , 
2021-06-14 10:07:47,69.20, , , , 
2021-06-14 10:17:47,69.76, , , , 
2021-06-14 10:27:47,70.41, , , , 
2021-06-14 10:37:47,71.32, , , , 
2021-06-14 10:47:47,72.09, , , , 
2021-06-14 10:57:47,72.96, , , , 
2021-06-14 11:07:47,73.96, , , , 
2021-06-14 11:17:47,74.89, , , , 
2021-06-14 11:27:47,75.84, , , , 
2021-06-14 11:37:47,76.42, , , , 
2021-06-14 11:47:47,77.11, , , , 
2021-06-14 11:57:47,77.67, , , , 
2021-06-14 12:07:47,77.73, , , , 
2021-06-14 12:17:47,78.13, , , , 
2021-06-14 12:27:47,78.62, , , , 
2021-06-14 12:37:47,78.83, , , , 
2021-06-14 12:47:47,78.87, , , , 
2021-06-14 12:57:47,78.69, , , , 
2021-06-14 13:07:47,78.67, , , , 
2021-06-14 13:17:47,78.75, , , , 
2021-06-14 13:27:47,78.77, , , , 
2021-06-14 13:37:47,78.73, , , , 
2021-06-14 13:47:47,78.79, , , , 
2021-06-14 13:57:47,78.87, , , , 
2021-06-14 14:07:47,78.91, , , , 
2021-06-14 14:17:47,79.06, , , , 
2021-06-14 14:27:47,79.18, , , , 
2021-06-14 14:37:47,79.41, , , , 
2021-06-14 14:47:47,79.72, , , , 
2021-06-14 14:57:47,79.60, , , , 
2021-06-14 15:07:47,79.20, , , , 
2021-06-14 15:17:47,78.89, , , , 
2021-06-14 15:27:47,78.73, , , , 
2021-06-14 15:37:47,78.66, , , , 
2021-06-14 15:47:47,78.58, , , , 
2021-06-14 15:57:47,78.21, , , , 
2021-06-14 16:07:47,77.79, , , , 
2021-06-14 16:17:47,77.17, , , , 
2021-06-14 16:27:47,76.73, , , , 
2021-06-14 16:37:47,76.36, , , , 
2021-06-14 16:47:47,75.86, , , , 
2021-06-14 16:57:47,75.12, , , , 
2021-06-14 17:07:47,74.33, , , , 
2021-06-14 17:17:47,73.50, , , , 
2021-06-14 17:27:47,72.84, , , , 
2021-06-14 17:37:47,72.25, , , , 
2021-06-14 17:47:47,71.59, , , , 
2021-06-14 17:57:47,71.03, , , , 
2021-06-14 18:07:47,70.51, , , , 
2021-06-14 18:17:47,70.12, , , , 
2021-06-14 18:27:47,69.81, , , , 
2021-06-14 18:37:47,69.85, , , , 
2021-06-14 18:47:47,69.70, , , , 
2021-06-14 18:57:47,69.31, , , , 
2021-06-14 19:07:47,68.27, , , , 
2021-06-14 19:17:47,67.44, , , , 
2021-06-14 19:27:47,66.63, , , , 
2021-06-14 19:37:47,65.84, , , , 
2021-06-14 19:47:47,65.12, , , , 
2021-06-14 19:57:47,64.64, , , , 
