Serial Number:20693573 --

"Date Time, GMT -0700","Temp, (*F)","Button Down","Button Up","Host Connect","EOF"
2021-06-16 10:25:02,78.37, , , , 
2021-06-16 10:35:02,80.16, , , , 
2021-06-16 10:45:02,81.57, , , , 
2021-06-16 10:55:02,82.81, , , , 
2021-06-16 11:05:02,83.95, , , , 
2021-06-16 11:15:02,85.03, , , , 
2021-06-16 11:25:02,86.17, , , , 
2021-06-16 11:35:02,87.17, , , , 
2021-06-16 11:45:02,88.13, , , , 
2021-06-16 11:55:02,88.98, , , , 
2021-06-16 12:05:02,90.03, , , , 
2021-06-16 12:15:02,90.70, , , , 
2021-06-16 12:25:02,91.34, , , , 
2021-06-16 12:35:02,92.09, , , , 
2021-06-16 12:45:02,92.75, , , , 
2021-06-16 12:55:02,93.33, , , , 
2021-06-16 13:05:02,93.66, , , , 
2021-06-16 13:15:02,94.08, , , , 
2021-06-16 13:25:02,93.87, , , , 
2021-06-16 13:35:02,93.89, , , , 
2021-06-16 13:45:02,93.75, , , , 
2021-06-16 13:55:02,93.81, , , , 
2021-06-16 14:05:02,93.50, , , , 
2021-06-16 14:15:02,93.54, , , , 
2021-06-16 14:25:02,93.68, , , , 
2021-06-16 14:35:02,93.40, , , , 
2021-06-16 14:45:02,92.19, , , , 
2021-06-16 14:55:02,91.98, , , , 
2021-06-16 15:05:02,90.90, , , , 
2021-06-16 15:15:02,90.05, , , , 
2021-06-16 15:25:02,89.70, , , , 
2021-06-16 15:35:02,87.15, , , , 
2021-06-16 15:45:02,85.39, , , , 
2021-06-16 15:55:02,83.79, , , , 
2021-06-16 16:05:02,82.30, , , , 
2021-06-16 16:15:02,81.09, , , , 
2021-06-16 16:25:02,79.93, , , , 
2021-06-16 16:35:02,78.77, , , , 
2021-06-16 16:45:02,77.92, , , , 
2021-06-16 16:55:02,77.27, , , , 
2021-06-16 17:05:02,76.47, , , , 
2021-06-16 17:15:02,75.74, , , , 
2021-06-16 17:25:02,75.03, , , , 
2021-06-16 17:35:02,74.23, , , , 
2021-06-16 17:45:02,73.64, , , , 
2021-06-16 17:55:02,73.06, , , , 
2021-06-16 18:05:02,72.46, , , , 
