Serial Number:20755797 --

"Date Time, GMT -0700","Temp, (*F)","Host Connect","Button Down","Button Up","EOF"
2021-06-16 10:34:34,85.32, , , , 
2021-06-16 10:34:58, ,Logged, , , 
2021-06-16 10:35:18, ,Logged, , , 
2021-06-16 10:44:34,84.64, , , , 
2021-06-16 10:54:34,86.30, , , , 
2021-06-16 11:04:34,87.56, , , , 
2021-06-16 11:14:34,88.71, , , , 
2021-06-16 11:24:34,89.87, , , , 
2021-06-16 11:34:34,90.82, , , , 
2021-06-16 11:44:34,91.73, , , , 
2021-06-16 11:54:34,92.52, , , , 
2021-06-16 12:04:34,93.46, , , , 
2021-06-16 12:14:34,94.04, , , , 
2021-06-16 12:24:34,93.75, , , , 
2021-06-16 12:34:34,95.20, , , , 
2021-06-16 12:44:34,95.93, , , , 
2021-06-16 12:54:34,96.15, , , , 
2021-06-16 13:04:34,95.99, , , , 
2021-06-16 13:14:34,96.11, , , , 
2021-06-16 13:24:34,95.24, , , , 
2021-06-16 13:34:34,95.35, , , , 
2021-06-16 13:44:34,94.49, , , , 
2021-06-16 13:54:34,94.76, , , , 
2021-06-16 14:04:34,93.87, , , , 
2021-06-16 14:14:34,94.16, , , , 
2021-06-16 14:24:34,94.35, , , , 
2021-06-16 14:34:34,94.16, , , , 
2021-06-16 14:44:34,91.94, , , , 
2021-06-16 14:54:34,91.57, , , , 
2021-06-16 15:04:34,90.20, , , , 
2021-06-16 15:14:34,89.14, , , , 
2021-06-16 15:24:34,89.06, , , , 
2021-06-16 15:34:34,88.48, , , , 
2021-06-16 15:44:34,85.30, , , , 
2021-06-16 15:54:34,82.57, , , , 
2021-06-16 16:04:34,80.76, , , , 
2021-06-16 16:14:34,79.47, , , , 
2021-06-16 16:24:34,78.06, , , , 
2021-06-16 16:34:34,77.07, , , , 
2021-06-16 16:44:34,76.20, , , , 
2021-06-16 16:54:34,75.35, , , , 
2021-06-16 17:04:34,74.64, , , , 
2021-06-16 17:14:34,73.81, , , , 
2021-06-16 17:24:34,73.10, , , , 
2021-06-16 17:34:34,72.54, , , , 
2021-06-16 17:44:34,71.82, , , , 
2021-06-16 17:54:34,71.24, , , , 
2021-06-16 18:04:34,70.55, , , , 
2021-06-16 18:14:34,70.14, , , , 
2021-06-16 18:24:34,69.76, , , , 
2021-06-16 18:34:34,69.58, , , , 
2021-06-16 18:44:34,69.39, , , , 
2021-06-16 18:54:34,69.22, , , , 
2021-06-16 19:04:34,69.00, , , , 
2021-06-16 19:14:34,68.77, , , , 
2021-06-16 19:24:34,68.44, , , , 
2021-06-16 19:34:34,68.04, , , , 
2021-06-16 19:44:34,67.73, , , , 
2021-06-16 19:54:34,67.46, , , , 
2021-06-16 20:04:34,67.03, , , , 
2021-06-16 20:14:34,66.65, , , , 
2021-06-16 20:24:34,66.45, , , , 
2021-06-16 20:34:34,66.09, , , , 
2021-06-16 20:44:34,65.80, , , , 
2021-06-16 20:54:34,65.37, , , , 
2021-06-16 21:04:34,65.08, , , , 
2021-06-16 21:14:34,64.74, , , , 
2021-06-16 21:24:34,64.43, , , , 
2021-06-16 21:34:34,64.04, , , , 
2021-06-16 21:44:34,63.83, , , , 
2021-06-16 21:54:34,63.71, , , , 
2021-06-16 22:04:34,63.79, , , , 
2021-06-16 22:14:34,63.46, , , , 
2021-06-16 22:24:34,63.29, , , , 
2021-06-16 22:34:34,62.90, , , , 
2021-06-16 22:44:34,62.65, , , , 
2021-06-16 22:54:34,62.54, , , , 
2021-06-16 23:04:34,62.42, , , , 
2021-06-16 23:14:34,62.27, , , , 
2021-06-16 23:24:34,62.11, , , , 
2021-06-16 23:34:34,61.92, , , , 
2021-06-16 23:44:34,61.76, , , , 
2021-06-16 23:54:34,61.38, , , , 
2021-06-17 00:04:34,61.40, , , , 
2021-06-17 00:14:34,61.24, , , , 
2021-06-17 00:24:34,60.93, , , , 
2021-06-17 00:34:34,60.70, , , , 
2021-06-17 00:44:34,60.45, , , , 
2021-06-17 00:54:34,60.32, , , , 
2021-06-17 01:04:34,60.12, , , , 
2021-06-17 01:14:34,60.05, , , , 
2021-06-17 01:24:34,60.10, , , , 
2021-06-17 01:34:34,60.01, , , , 
2021-06-17 01:44:34,59.79, , , , 
2021-06-17 01:54:34,59.58, , , , 
2021-06-17 02:04:34,59.33, , , , 
2021-06-17 02:14:34,59.18, , , , 
2021-06-17 02:24:34,59.08, , , , 
2021-06-17 02:34:34,59.02, , , , 
2021-06-17 02:44:34,59.02, , , , 
2021-06-17 02:54:34,58.87, , , , 
2021-06-17 03:04:34,58.83, , , , 
2021-06-17 03:14:34,58.71, , , , 
2021-06-17 03:24:34,58.60, , , , 
2021-06-17 03:34:34,58.54, , , , 
2021-06-17 03:44:34,58.35, , , , 
2021-06-17 03:54:34,58.25, , , , 
2021-06-17 04:04:34,58.21, , , , 
2021-06-17 04:14:34,58.17, , , , 
2021-06-17 04:24:34,58.08, , , , 
2021-06-17 04:34:34,57.90, , , , 
2021-06-17 04:44:34,57.92, , , , 
2021-06-17 04:54:34,57.75, , , , 
2021-06-17 05:04:34,57.73, , , , 
2021-06-17 05:14:34,57.56, , , , 
2021-06-17 05:24:34,57.56, , , , 
2021-06-17 05:34:34,57.46, , , , 
2021-06-17 05:44:34,57.40, , , , 
2021-06-17 05:54:34,57.40, , , , 
2021-06-17 06:04:34,57.38, , , , 
2021-06-17 06:14:34,57.44, , , , 
2021-06-17 06:24:34,57.57, , , , 
2021-06-17 06:34:34,57.79, , , , 
2021-06-17 06:44:34,58.04, , , , 
2021-06-17 06:54:34,58.37, , , , 
2021-06-17 07:04:34,58.64, , , , 
2021-06-17 07:14:34,59.20, , , , 
2021-06-17 07:24:34,59.81, , , , 
2021-06-17 07:34:34,60.61, , , , 
2021-06-17 07:44:34,62.34, , , , 
2021-06-17 07:54:34,64.10, , , , 
2021-06-17 08:04:34,65.59, , , , 
2021-06-17 08:14:34,67.00, , , , 
2021-06-17 08:24:34,68.46, , , , 
2021-06-17 08:34:34,69.85, , , , 
2021-06-17 08:44:34,71.36, , , , 
2021-06-17 08:54:34,72.73, , , , 
2021-06-17 09:04:34,74.25, , , , 
2021-06-17 09:14:34,75.68, , , , 
2021-06-17 09:24:34,76.98, , , , 
2021-06-17 09:34:34,78.33, , , , 
2021-06-17 09:44:34,79.64, , , , 
2021-06-17 09:54:34,81.01, , , , 
2021-06-17 10:04:34,82.28, , , , 
2021-06-17 10:14:34,83.40, , , , 
2021-06-17 10:24:34,84.54, , , , 
2021-06-17 10:34:34,85.72, , , , 
2021-06-17 10:44:34,87.03, , , , 
2021-06-17 10:54:34,88.23, , , , 
2021-06-17 11:04:34,89.35, , , , 
2021-06-17 11:14:34,90.32, , , , 
2021-06-17 11:24:34,91.22, , , , 
2021-06-17 11:34:34,92.03, , , , 
2021-06-17 11:44:34,92.79, , , , 
2021-06-17 11:54:34,93.35, , , , 
2021-06-17 12:04:34,94.10, , , , 
2021-06-17 12:14:34,94.68, , , , 
2021-06-17 12:24:34,95.30, , , , 
2021-06-17 12:34:34,96.13, , , , 
2021-06-17 12:44:34,96.61, , , , 
2021-06-17 12:54:34,96.45, , , , 
2021-06-17 13:04:34,96.45, , , , 
2021-06-17 13:14:34,96.44, , , , 
2021-06-17 13:24:34,96.44, , , , 
2021-06-17 13:34:34,96.20, , , , 
2021-06-17 13:44:34,96.03, , , , 
2021-06-17 13:54:34,95.82, , , , 
2021-06-17 14:04:34,95.80, , , , 
2021-06-17 14:14:34,95.26, , , , 
2021-06-17 14:24:34,94.87, , , , 
2021-06-17 14:34:34,94.79, , , , 
2021-06-17 14:44:34,94.62, , , , 
2021-06-17 14:54:34,94.08, , , , 
2021-06-17 15:04:34,94.02, , , , 
2021-06-17 15:14:34,92.23, , , , 
2021-06-17 15:24:34,91.22, , , , 
2021-06-17 15:34:34,89.08, , , , 
2021-06-17 15:44:34,85.70, , , , 
2021-06-17 15:54:34,82.57, , , , 
2021-06-17 16:04:34,80.57, , , , 
2021-06-17 16:14:34,78.89, , , , 
2021-06-17 16:24:34,77.73, , , , 
2021-06-17 16:34:34,76.18, , , , 
2021-06-17 16:44:34,75.16, , , , 
2021-06-17 16:54:34,74.39, , , , 
2021-06-17 17:04:34,73.29, , , , 
2021-06-17 17:14:34,72.63, , , , 
2021-06-17 17:24:34,72.07, , , , 
2021-06-17 17:34:34,71.47, , , , 
2021-06-17 17:44:34,70.86, , , , 
2021-06-17 17:54:34,70.41, , , , 
2021-06-17 18:04:34,69.97, , , , 
2021-06-17 18:14:34,69.64, , , , 
2021-06-17 18:24:34,69.27, , , , 
2021-06-17 18:34:34,68.50, , , , 
2021-06-17 18:44:34,68.25, , , , 
2021-06-17 18:54:34,67.38, , , , 
2021-06-17 19:04:34,67.01, , , , 
2021-06-17 19:14:34,67.19, , , , 
2021-06-17 19:24:34,67.25, , , , 
2021-06-17 19:34:34,67.46, , , , 
2021-06-17 19:44:34,67.27, , , , 
2021-06-17 19:54:34,67.00, , , , 
2021-06-17 20:04:34,66.67, , , , 
2021-06-17 20:14:34,66.30, , , , 
2021-06-17 20:24:34,65.55, , , , 
2021-06-17 20:34:34,65.01, , , , 
