Serial Number:20216870 --

"Date Time, GMT -0700","Temp, (*F)","Button Down","Button Up","Host Connect","EOF"
2021-06-16 10:50:23,82.28, , , , 
2021-06-16 11:00:23,82.09, , , , 
2021-06-16 11:10:23,83.27, , , , 
2021-06-16 11:20:23,84.68, , , , 
2021-06-16 11:30:23,85.78, , , , 
2021-06-16 11:40:23,86.61, , , , 
2021-06-16 11:50:23,87.54, , , , 
2021-06-16 12:00:23,88.31, , , , 
2021-06-16 12:10:23,89.06, , , , 
2021-06-16 12:20:23,89.68, , , , 
2021-06-16 12:30:23,90.01, , , , 
2021-06-16 12:40:23,90.66, , , , 
2021-06-16 12:50:23,90.90, , , , 
2021-06-16 13:00:23,91.03, , , , 
2021-06-16 13:10:23,91.03, , , , 
2021-06-16 13:20:23,91.05, , , , 
2021-06-16 13:30:23,91.13, , , , 
2021-06-16 13:40:23,90.08, , , , 
2021-06-16 13:50:23,89.93, , , , 
2021-06-16 14:00:23,90.47, , , , 
2021-06-16 14:10:23,89.31, , , , 
2021-06-16 14:20:23,89.64, , , , 
2021-06-16 14:30:23,89.89, , , , 
2021-06-16 14:40:23,88.25, , , , 
2021-06-16 14:50:23,87.90, , , , 
2021-06-16 15:00:23,87.00, , , , 
2021-06-16 15:10:23,85.41, , , , 
2021-06-16 15:20:23,85.08, , , , 
2021-06-16 15:30:23,84.91, , , , 
2021-06-16 15:40:23,84.60, , , , 
2021-06-16 15:50:23,82.67, , , , 
2021-06-16 16:00:23,80.30, , , , 
2021-06-16 16:10:23,78.44, , , , 
2021-06-16 16:20:23,76.80, , , , 
2021-06-16 16:30:23,75.45, , , , 
2021-06-16 16:40:23,74.41, , , , 
2021-06-16 16:50:23,73.66, , , , 
2021-06-16 17:00:23,73.08, , , , 
2021-06-16 17:10:23,72.50, , , , 
2021-06-16 17:20:23,71.76, , , , 
2021-06-16 17:30:23,71.17, , , , 
2021-06-16 17:40:23,70.59, , , , 
2021-06-16 17:50:23,69.85, , , , 
2021-06-16 18:00:23,69.41, , , , 
2021-06-16 18:10:23,69.00, , , , 
2021-06-16 18:20:23,68.73, , , , 
2021-06-16 18:30:23,68.60, , , , 
2021-06-16 18:40:23,68.67, , , , 
2021-06-16 18:50:23,68.64, , , , 
2021-06-16 19:00:23,68.54, , , , 
2021-06-16 19:10:23,68.25, , , , 
2021-06-16 19:20:23,67.96, , , , 
2021-06-16 19:30:23,67.63, , , , 
2021-06-16 19:40:23,67.46, , , , 
2021-06-16 19:50:23,67.19, , , , 
2021-06-16 20:00:23,66.80, , , , 
2021-06-16 20:10:23,66.40, , , , 
2021-06-16 20:20:23,66.17, , , , 
2021-06-16 20:30:23,65.99, , , , 
2021-06-16 20:40:23,65.76, , , , 
2021-06-16 20:50:23,65.32, , , , 
2021-06-16 21:00:23,65.18, , , , 
2021-06-16 21:10:23,64.79, , , , 
2021-06-16 21:20:23,64.62, , , , 
2021-06-16 21:30:23,64.29, , , , 
2021-06-16 21:40:23,64.14, , , , 
2021-06-16 21:50:23,64.00, , , , 
2021-06-16 22:00:23,63.83, , , , 
2021-06-16 22:10:23,63.67, , , , 
2021-06-16 22:20:23,63.50, , , , 
2021-06-16 22:30:23,63.31, , , , 
2021-06-16 22:40:23,63.15, , , , 
2021-06-16 22:50:23,62.86, , , , 
2021-06-16 23:00:23,62.65, , , , 
2021-06-16 23:10:23,62.50, , , , 
2021-06-16 23:20:23,62.38, , , , 
2021-06-16 23:30:23,62.19, , , , 
2021-06-16 23:40:23,62.00, , , , 
2021-06-16 23:50:23,61.92, , , , 
2021-06-17 00:00:23,61.78, , , , 
2021-06-17 00:10:23,61.69, , , , 
2021-06-17 00:20:23,61.42, , , , 
2021-06-17 00:30:23,61.18, , , , 
2021-06-17 00:40:23,60.99, , , , 
2021-06-17 00:50:23,60.88, , , , 
2021-06-17 01:00:23,60.72, , , , 
2021-06-17 01:10:23,60.55, , , , 
2021-06-17 01:20:23,60.39, , , , 
2021-06-17 01:30:23,60.32, , , , 
2021-06-17 01:40:23,60.26, , , , 
2021-06-17 01:50:23,60.03, , , , 
2021-06-17 02:00:23,59.81, , , , 
2021-06-17 02:10:23,59.62, , , , 
2021-06-17 02:20:23,59.49, , , , 
2021-06-17 02:30:23,59.47, , , , 
2021-06-17 02:40:23,59.37, , , , 
2021-06-17 02:50:23,59.23, , , , 
2021-06-17 03:00:23,59.23, , , , 
2021-06-17 03:10:23,59.25, , , , 
2021-06-17 03:20:23,59.22, , , , 
2021-06-17 03:30:23,59.10, , , , 
2021-06-17 03:40:23,59.02, , , , 
2021-06-17 03:50:23,58.81, , , , 
2021-06-17 04:00:23,58.71, , , , 
2021-06-17 04:10:23,58.62, , , , 
2021-06-17 04:20:23,58.56, , , , 
2021-06-17 04:30:23,58.58, , , , 
2021-06-17 04:40:23,58.48, , , , 
2021-06-17 04:50:23,58.39, , , , 
2021-06-17 05:00:23,58.31, , , , 
2021-06-17 05:10:23,58.25, , , , 
2021-06-17 05:20:23,58.19, , , , 
2021-06-17 05:30:23,58.08, , , , 
2021-06-17 05:40:23,58.02, , , , 
2021-06-17 05:50:23,58.02, , , , 
2021-06-17 06:00:23,57.94, , , , 
2021-06-17 06:10:23,57.96, , , , 
2021-06-17 06:20:23,58.06, , , , 
2021-06-17 06:30:23,58.27, , , , 
2021-06-17 06:40:23,58.69, , , , 
2021-06-17 06:50:23,59.37, , , , 
2021-06-17 07:00:23,60.14, , , , 
2021-06-17 07:10:23,61.09, , , , 
2021-06-17 07:20:23,62.13, , , , 
2021-06-17 07:30:23,63.25, , , , 
2021-06-17 07:40:23,64.45, , , , 
2021-06-17 07:50:23,65.76, , , , 
2021-06-17 08:00:23,66.96, , , , 
2021-06-17 08:10:23,68.11, , , , 
2021-06-17 08:20:23,69.27, , , , 
2021-06-17 08:30:23,70.57, , , , 
2021-06-17 08:40:23,71.78, , , , 
2021-06-17 08:50:23,73.02, , , , 
2021-06-17 09:00:23,74.29, , , , 
2021-06-17 09:10:23,75.51, , , , 
2021-06-17 09:20:23,76.32, , , , 
2021-06-17 09:30:23,77.46, , , , 
2021-06-17 09:40:23,78.60, , , , 
2021-06-17 09:50:23,79.78, , , , 
2021-06-17 10:00:23,80.84, , , , 
2021-06-17 10:10:23,81.51, , , , 
2021-06-17 10:20:23,82.59, , , , 
2021-06-17 10:30:23,83.39, , , , 
2021-06-17 10:40:23,84.54, , , , 
2021-06-17 10:50:23,85.57, , , , 
2021-06-17 11:00:23,86.63, , , , 
2021-06-17 11:10:23,87.57, , , , 
2021-06-17 11:20:23,88.12, , , , 
2021-06-17 11:30:23,88.85, , , , 
2021-06-17 11:40:23,89.25, , , , 
2021-06-17 11:50:23,89.78, , , , 
2021-06-17 12:00:23,90.24, , , , 
2021-06-17 12:10:23,90.70, , , , 
2021-06-17 12:20:23,91.44, , , , 
2021-06-17 12:30:23,91.84, , , , 
2021-06-17 12:40:23,92.21, , , , 
