"Date Time, GMT -0800","Temp, (*F)",Button Down,Button Up,Host Connect,EOF
2/25/20 13:40,101.22, , , , 
2/25/20 13:50,75.64, , , , 
2/25/20 14:00,74.33, , , , 
2/25/20 14:10,74.2, , , , 
2/25/20 14:20,74.16, , , , 
2/25/20 14:30,73.91, , , , 
2/25/20 14:40,73.54, , , , 
2/25/20 14:50,73.21, , , , 
2/25/20 15:00,72.71, , , , 
2/25/20 15:10,70.86, , , , 
2/25/20 15:20,69.39, , , , 
2/25/20 15:30,68.02, , , , 
2/25/20 15:40,66.94, , , , 
2/25/20 15:50,66.03, , , , 
2/25/20 16:00,65.2, , , , 
2/25/20 16:10,64.47, , , , 
2/25/20 16:20,63.83, , , , 
2/25/20 16:30,63.15, , , , 
2/25/20 16:40,62.59, , , , 
2/25/20 16:50,62.11, , , , 
2/25/20 17:00,61.72, , , , 
2/25/20 17:10,61.3, , , , 
2/25/20 17:20,60.97, , , , 
2/25/20 17:30,60.66, , , , 
2/25/20 17:40,60.35, , , , 
2/25/20 17:50,59.97, , , , 
2/25/20 18:00,59.7, , , , 
2/25/20 18:10,59.43, , , , 
2/25/20 18:20,59.16, , , , 
2/25/20 18:30,58.83, , , , 
2/25/20 18:40,58.52, , , , 
2/25/20 18:50,58.25, , , , 
2/25/20 19:00,57.84, , , , 
2/25/20 19:10,57.52, , , , 
2/25/20 19:20,57.15, , , , 
2/25/20 19:30,56.69, , , , 
2/25/20 19:40,56.44, , , , 
2/25/20 19:50,56.01, , , , 
2/25/20 20:00,55.45, , , , 
2/25/20 20:10,55.03, , , , 
2/25/20 20:20,54.64, , , , 
2/25/20 20:30,54.22, , , , 
2/25/20 20:40,53.75, , , , 
2/25/20 20:50,53.6, , , , 
2/25/20 21:00,53.46, , , , 
2/25/20 21:10,53.4, , , , 
2/25/20 21:20,53.29, , , , 
2/25/20 21:30,53.08, , , , 
2/25/20 21:40,52.88, , , , 
2/25/20 21:50,52.61, , , , 
2/25/20 22:00,52.36, , , , 
2/25/20 22:10,52.17, , , , 
2/25/20 22:20,52, , , , 
2/25/20 22:30,51.78, , , , 
2/25/20 22:40,51.65, , , , 
2/25/20 22:50,51.42, , , , 
2/25/20 23:00,51.22, , , , 
2/25/20 23:10,50.99, , , , 
2/25/20 23:20,50.89, , , , 
2/25/20 23:30,50.72, , , , 
2/25/20 23:40,50.62, , , , 
2/25/20 23:50,50.57, , , , 
2/26/20 0:00,50.47, , , , 
2/26/20 0:10,50.43, , , , 
2/26/20 0:20,50.32, , , , 
2/26/20 0:30,50.08, , , , 
2/26/20 0:40,49.91, , , , 
2/26/20 0:50,49.68, , , , 
2/26/20 1:00,49.58, , , , 
2/26/20 1:10,49.54, , , , 
2/26/20 1:20,49.47, , , , 
2/26/20 1:30,49.45, , , , 
2/26/20 1:40,49.39, , , , 
2/26/20 1:50,49.37, , , , 
2/26/20 2:00,49.29, , , , 
2/26/20 2:10,49.16, , , , 
2/26/20 2:20,48.98, , , , 
2/26/20 2:30,48.85, , , , 
2/26/20 2:40,48.75, , , , 
2/26/20 2:50,48.69, , , , 
2/26/20 3:00,48.54, , , , 
2/26/20 3:10,48.39, , , , 
2/26/20 3:20,48.19, , , , 
2/26/20 3:30,48.06, , , , 
2/26/20 3:40,47.96, , , , 
2/26/20 3:50,47.77, , , , 
2/26/20 4:00,47.61, , , , 
2/26/20 4:10,47.57, , , , 
2/26/20 4:20,47.52, , , , 
2/26/20 4:30,47.44, , , , 
2/26/20 4:40,47.36, , , , 
2/26/20 4:50,47.28, , , , 
2/26/20 5:00,47.17, , , , 
2/26/20 5:10,47.09, , , , 
2/26/20 5:20,46.98, , , , 
2/26/20 5:30,46.88, , , , 
2/26/20 5:40,46.82, , , , 
2/26/20 5:50,46.96, , , , 
2/26/20 6:00,46.94, , , , 
2/26/20 6:10,46.96, , , , 
2/26/20 6:20,46.88, , , , 
2/26/20 6:30,46.8, , , , 
2/26/20 6:40,46.72, , , , 
2/26/20 6:50,46.65, , , , 
2/26/20 7:00,46.67, , , , 
2/26/20 7:10,46.76, , , , 
2/26/20 7:20,47.05, , , , 
2/26/20 7:30,47.44, , , , 
2/26/20 7:40,48.02, , , , 
2/26/20 7:50,48.75, , , , 
2/26/20 8:00,49.52, , , , 
2/26/20 8:10,50.43, , , , 
2/26/20 8:20,51.34, , , , 
2/26/20 8:30,52.46, , , , 
2/26/20 8:40,53.52, , , , 
2/26/20 8:50,54.68, , , , 
2/26/20 9:00,55.86, , , , 
2/26/20 9:10,57, , , , 
2/26/20 9:20,58.15, , , , 
2/26/20 9:30,59.27, , , , 
2/26/20 9:40,60.53, , , , 
2/26/20 9:50,61.69, , , , 
2/26/20 10:00,62.88, , , , 
2/26/20 10:10,64.04, , , , 
2/26/20 10:20,65.18, , , , 
2/26/20 10:30,66.24, , , , 
2/26/20 10:40,67.23, , , , 
2/26/20 10:50,68.04, , , , 
2/26/20 11:00,68.98, , , , 
2/26/20 11:10,69.85, , , , 
2/26/20 11:20,70.62, , , , 
2/26/20 11:30,71.49, , , , 
2/26/20 11:40,72.4, , , , 
2/26/20 11:50,73.29, , , , 
2/26/20 12:00,74.04, , , , 
2/26/20 12:10,74.85, , , , 
2/26/20 12:20,75.61, , , , 
2/26/20 12:30,76.28, , , , 
2/26/20 12:40,76.71, , , , 
2/26/20 12:50,77.01, , , , 
2/26/20 13:00,77.36, , , , 
2/26/20 13:10,77.81, , , , 
2/26/20 13:20,78.17, , , , 
2/26/20 13:30,78.37, , , , 
2/26/20 13:40,78.37, , , , 
2/26/20 13:50,78.1, , , , 
2/26/20 14:00,77.98, , , , 
2/26/20 14:10,77.81, , , , 
2/26/20 14:20,77.61, , , , 
2/26/20 14:30,77.38, , , , 
2/26/20 14:40,77.13, , , , 
2/26/20 14:50,76.74, , , , 
2/26/20 15:00,76.18, , , , 
